feature,RI_lower_limit,RI_upper_limit,CI_for_lower_limit,CI_for_upper_limit,valid_CI_lower_limit,valid_CI_upper_limit
Pic#shimmerLocaldB_sma3nz_amean,-1.7263888470257067,2.326827565919118,"(-1.8908677797450444, -1.7258889332935863)","(2.0256738733338198, 2.322677131609093)",True,True
Pic#shimmerLocaldB_sma3nz_stddevNorm,-1.7533231072777078,2.0528529028645957,"(-1.9950032203075092, -1.7491266780037238)","(1.7611210413735574, 2.0514851274263983)",True,True
Pic#F1frequency_sma3nz_amean,-1.6050988578042122,2.2555497907499302,"(-1.6962199729923748, -1.6040667039101053)","(1.9522240213142283, 2.2407465572974226)",True,True
Pic#F1frequency_sma3nz_stddevNorm,-2.2172810570630257,1.7369538691946196,"(-2.476555087915853, -2.217906256537794)","(1.6063718751649483, 1.737121499991322)",True,True
Pic#F1bandwidth_sma3nz_amean,-2.2204835631877984,1.7747750661972599,"(-2.5254033515435954, -2.216835963713038)","(1.6308435032546993, 1.7740316811772119)",True,True
Pic#F1bandwidth_sma3nz_stddevNorm,-1.66434656432513,2.2228053793551137,"(-1.7382601237818327, -1.6648171128393359)","(1.815211158947196, 2.223654176247926)",True,True
Pic#F2frequency_sma3nz_amean,-1.6687305274022681,2.206791033210379,"(-1.7558923170239469, -1.6681257668189815)","(1.9158184043946553, 2.173393617887166)",True,True
Pic#F2frequency_sma3nz_stddevNorm,-2.0600790131826177,1.8681406965772642,"(-2.288148714227483, -2.057981353929859)","(1.6874436823246268, 1.8683480071208043)",True,True
Pic#F2bandwidth_sma3nz_amean,-1.9032212703565272,1.9804075401718446,"(-2.027083208402868, -1.9038399092809433)","(1.8033943657521663, 1.9728927181003444)",True,True
Pic#F2bandwidth_sma3nz_stddevNorm,-1.7686795459578153,2.099749591154301,"(-1.9430292325267458, -1.7689282975246354)","(1.8724900556788215, 2.0984547532837716)",True,True
Pic#F3frequency_sma3nz_amean,-1.7334056358693277,2.155335472085296,"(-1.9009007379101166, -1.7327544302333728)","(1.9133137264816604, 2.154370232890475)",True,True
Pic#F3frequency_sma3nz_stddevNorm,-1.9802373226850076,1.9442823608668245,"(-2.160942369142354, -1.97592088908246)","(1.718274167175429, 1.9392122755524093)",True,True
Pic#F3bandwidth_sma3nz_amean,-1.94237049183848,1.9198388864224494,"(-2.1694556202687227, -1.9406721669256026)","(1.802163741545212, 1.9187959965679964)",True,True
Pic#F3bandwidth_sma3nz_stddevNorm,-1.7662234000442452,2.0507213028629243,"(-1.858772125753517, -1.7668010495287032)","(1.8951097843987315, 2.049392471396932)",True,True
Pic#loudnessPeaksPerSec,-1.8664158445012198,2.0284143284606384,"(-2.0047314653962016, -1.866323895020454)","(1.8400521595041621, 2.0164918367180236)",True,True
